antecedent,consequent,support,confidence,lift,count
"DO=West Chelsea/Hudson Yards, PU_bor=Manhattan",weekend=yes,0.0065,0.333,1.15,2580
DO=Lenox Hill East,rush=yes,0.0077,0.336,1.15,3060
"PU=Flatiron, PU_bor=Manhattan",weekend=yes,0.0055,0.333,1.15,2201
"DO=Lenox Hill East, PU_bor=Manhattan",rush=yes,0.0074,0.338,1.15,2955
"DO=East Chelsea, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.0083,0.333,1.15,3291
"DO=Lenox Hill East, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0074,0.338,1.15,2955
"DO=East Chelsea, PU_bor=Manhattan",weekend=yes,0.0083,0.333,1.15,3291
"DO=Lenox Hill East, DO_bor=Manhattan",rush=yes,0.0077,0.336,1.15,3060
DO=West Chelsea/Hudson Yards,weekend=yes,0.0066,0.332,1.15,2645
PU=Flatiron,weekend=yes,0.0055,0.333,1.15,2201
DO=Times Sq/Theatre District,rush=yes,0.0098,0.333,1.14,3911
"PU=Lincoln Square East, PU_bor=Manhattan",rush=yes,0.0103,0.335,1.14,4100
"DO=Times Sq/Theatre District, DO_bor=Manhattan",rush=yes,0.0098,0.333,1.14,3911
"DO=Times Sq/Theatre District, PU_bor=Manhattan",rush=yes,0.0086,0.333,1.14,3419
"DO=Times Sq/Theatre District, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0086,0.333,1.14,3419
PU=Lincoln Square East,rush=yes,0.0103,0.335,1.14,4100
"DO=East Chelsea, rush=yes",DO_bor=Manhattan,0.0075,1.0,1.13,2981
"DO=Lenox Hill West, rush=yes",DO_bor=Manhattan,0.0081,1.0,1.13,3226
"DO=Upper East Side South, weekend=yes",DO_bor=Manhattan,0.0078,1.0,1.13,3100
"DO=West Village, PU_bor=Manhattan",DO_bor=Manhattan,0.017,1.0,1.13,6767
"DO=West Village, weekend=yes",DO_bor=Manhattan,0.0075,1.0,1.13,2982
"DO=Clinton East, weekend=yes",DO_bor=Manhattan,0.009,1.0,1.13,3590
"DO=Upper West Side North, weekend=yes",DO_bor=Manhattan,0.0059,1.0,1.13,2346
"DO=West Chelsea/Hudson Yards, PU_bor=Manhattan",DO_bor=Manhattan,0.0195,1.0,1.13,7752
"DO=Manhattan Valley, PU_bor=Manhattan",DO_bor=Manhattan,0.0081,1.0,1.13,3236
"DO=Times Sq/Theatre District, weekend=yes",DO_bor=Manhattan,0.0075,1.0,1.13,2968
"DO=Midtown South, PU_bor=Manhattan",DO_bor=Manhattan,0.018,1.0,1.13,7159
"DO=Union Sq, rush=yes",DO_bor=Manhattan,0.0077,1.0,1.13,3063
"DO=Flatiron, weekend=yes",DO_bor=Manhattan,0.0061,1.0,1.13,2440
"DO=Union Sq, PU_bor=Manhattan",DO_bor=Manhattan,0.0212,1.0,1.13,8432
"DO=Lincoln Square East, PU_bor=Manhattan",DO_bor=Manhattan,0.0263,1.0,1.13,10460
"DO=Lincoln Square East, weekend=yes",DO_bor=Manhattan,0.0079,1.0,1.13,3144
"DO=Union Sq, weekend=yes",DO_bor=Manhattan,0.006,1.0,1.13,2379
"DO=Yorkville West, weekend=yes",DO_bor=Manhattan,0.0068,1.0,1.13,2712
"DO=Midtown East, PU_bor=Manhattan",DO_bor=Manhattan,0.027,1.0,1.13,10739
"DO=Times Sq/Theatre District, PU_bor=Manhattan",DO_bor=Manhattan,0.0258,1.0,1.13,10258
"DO=Greenwich Village North, PU_bor=Manhattan",DO_bor=Manhattan,0.0115,1.0,1.13,4563
"DO=Kips Bay, PU_bor=Manhattan",DO_bor=Manhattan,0.0156,1.0,1.13,6229
"DO=Lincoln Square West, PU_bor=Manhattan",DO_bor=Manhattan,0.0145,1.0,1.13,5776
"DO=Kips Bay, weekend=yes",DO_bor=Manhattan,0.0051,1.0,1.13,2020
"DO=East Harlem South, PU_bor=Manhattan",DO_bor=Manhattan,0.0129,1.0,1.13,5155
"DO=Lenox Hill East, PU_bor=Manhattan",DO_bor=Manhattan,0.0219,1.0,1.13,8734
"DO=Greenwich Village South, PU_bor=Manhattan",DO_bor=Manhattan,0.0093,1.0,1.13,3693
"DO=Upper East Side North, PU=Upper East Side South",DO_bor=Manhattan,0.006,1.0,1.13,2391
"DO=Penn Station/Madison Sq West, weekend=yes",DO_bor=Manhattan,0.0062,1.0,1.13,2476
"DO=Penn Station/Madison Sq West, PU_bor=Manhattan",DO_bor=Manhattan,0.0199,1.0,1.13,7919
"DO=Midtown North, PU_bor=Manhattan",DO_bor=Manhattan,0.022,1.0,1.13,8773
"DO=Midtown North, weekend=yes",DO_bor=Manhattan,0.0051,1.0,1.13,2047
"DO=Midtown Center, weekend=yes",DO_bor=Manhattan,0.0059,1.0,1.13,2347
"DO=West Chelsea/Hudson Yards, weekend=yes",DO_bor=Manhattan,0.0066,1.0,1.13,2645
"DO=East Chelsea, DO_bor=Manhattan",weekend=yes,0.0087,0.327,1.13,3450
"DO=Midtown South, weekend=yes",DO_bor=Manhattan,0.0055,1.0,1.13,2184
"DO=Sutton Place/Turtle Bay North, PU_bor=Manhattan",DO_bor=Manhattan,0.0193,1.0,1.13,7690
"DO=Upper West Side North, PU_bor=Manhattan",DO_bor=Manhattan,0.0217,1.0,1.13,8648
"DO=Upper East Side North, PU_bor=Manhattan",DO_bor=Manhattan,0.0398,1.0,1.13,15858
"DO=West Chelsea/Hudson Yards, rush=yes",DO_bor=Manhattan,0.007,1.0,1.13,2804
"DO=Midtown Center, rush=yes",DO_bor=Manhattan,0.0149,1.0,1.13,5945
"DO=Yorkville East, PU_bor=Manhattan",DO_bor=Manhattan,0.0142,1.0,1.13,5666
"DO=East Village, PU_bor=Manhattan",DO_bor=Manhattan,0.0216,1.0,1.13,8584
"DO=Little Italy/NoLiTa, PU_bor=Manhattan",DO_bor=Manhattan,0.0084,1.0,1.13,3363
"DO=Midtown East, rush=yes",DO_bor=Manhattan,0.0108,1.0,1.13,4309
"DO=Clinton East, rush=yes",DO_bor=Manhattan,0.0068,1.0,1.13,2702
"DO=East Village, weekend=yes",DO_bor=Manhattan,0.0107,1.0,1.13,4249
"PU=Murray Hill, PU_bor=Manhattan",rush=yes,0.0087,0.332,1.13,3461
"DO=Times Sq/Theatre District, rush=yes",DO_bor=Manhattan,0.0098,1.0,1.13,3911
"DO=Lenox Hill West, weekend=yes",DO_bor=Manhattan,0.0076,1.0,1.13,3007
"DO=Lenox Hill West, PU_bor=Manhattan",DO_bor=Manhattan,0.0257,1.0,1.13,10227
"DO=Upper East Side North, weekend=yes",DO_bor=Manhattan,0.0089,1.0,1.13,3548
"DO=Lenox Hill East, rush=yes",DO_bor=Manhattan,0.0077,1.0,1.13,3060
"DO=Garment District, PU_bor=Manhattan",DO_bor=Manhattan,0.0115,1.0,1.13,4590
