antecedent,consequent,support,confidence,lift,count
"DO=West Chelsea/Hudson Yards, rush=yes",PU_bor=Manhattan,0.0069,0.979,1.09,2746
"PU=Central Park, PU_bor=Manhattan",DO_bor=Manhattan,0.0126,0.963,1.09,5022
"DO=West Village, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0074,0.984,1.09,2934
"PU=Union Sq, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0063,0.965,1.09,2501
"PU=Yorkville West, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0065,0.968,1.09,2608
"PU=Yorkville East, rush=yes",DO_bor=Manhattan,0.0059,0.964,1.09,2365
"PU=Upper West Side South, weekend=yes",DO_bor=Manhattan,0.0072,0.962,1.09,2865
"PU=Gramercy, rush=yes",DO_bor=Manhattan,0.0056,0.962,1.09,2225
"PU=Upper West Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.0264,0.969,1.09,10528
PU=Manhattan Valley,DO_bor=Manhattan,0.0077,0.967,1.09,3057
"PU=Manhattan Valley, PU_bor=Manhattan",DO_bor=Manhattan,0.0077,0.967,1.09,3057
"DO=West Village, weekend=yes",PU_bor=Manhattan,0.0074,0.984,1.09,2934
PU=Central Park,DO_bor=Manhattan,0.0126,0.963,1.09,5022
PU=Upper East Side North,DO_bor=Manhattan,0.0389,0.967,1.09,15495
"PU=Midtown North, PU_bor=Manhattan",rush=yes,0.0081,0.32,1.09,3239
PU=Midtown North,rush=yes,0.0081,0.32,1.09,3239
"PU=Upper West Side South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0072,0.962,1.09,2865
"PU=Gramercy, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0056,0.962,1.09,2225
"PU=Upper East Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.0394,0.964,1.09,15705
DO=Yorkville West,weekend=yes,0.0068,0.315,1.09,2712
"PU=Upper East Side North, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0075,0.965,1.09,3003
"PU=Lenox Hill West, rush=yes",DO_bor=Manhattan,0.008,0.964,1.09,3180
"PU=Yorkville West, rush=yes",DO_bor=Manhattan,0.0065,0.968,1.09,2608
PU=Upper East Side South,DO_bor=Manhattan,0.0394,0.964,1.09,15705
DO=West Village,PU_bor=Manhattan,0.017,0.974,1.08,6767
PU=Upper West Side North,DO_bor=Manhattan,0.0191,0.96,1.08,7600
"PU=Clinton East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0066,0.955,1.08,2634
"PU=LaGuardia Airport, PU_bor=Queens",rush=yes,0.0081,0.318,1.08,3207
"DO=Upper West Side South, rush=yes",PU_bor=Manhattan,0.0082,0.978,1.08,3263
"DO=West Chelsea/Hudson Yards, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0065,0.975,1.08,2580
"DO=Upper East Side South, weekend=yes",PU_bor=Manhattan,0.0076,0.977,1.08,3030
"PU=Midtown East, rush=yes",DO_bor=Manhattan,0.0118,0.954,1.08,4690
"DO=Upper West Side North, DO_bor=Manhattan",PU_bor=Manhattan,0.0217,0.973,1.08,8648
"DO=Upper East Side South, DO_bor=Manhattan",PU_bor=Manhattan,0.0367,0.974,1.08,14598
"DO=West Chelsea/Hudson Yards, weekend=yes",PU_bor=Manhattan,0.0065,0.975,1.08,2580
"PU=Lincoln Square East, weekend=yes",DO_bor=Manhattan,0.0081,0.957,1.08,3217
"PU=Sutton Place/Turtle Bay North, rush=yes",DO_bor=Manhattan,0.0058,0.961,1.08,2301
"DO=Upper West Side North, weekend=yes",PU_bor=Manhattan,0.0057,0.97,1.08,2275
"PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.2556,0.958,1.08,101764
"PU=Penn Station/Madison Sq West, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0108,0.96,1.08,4295
DO=Upper East Side South,PU_bor=Manhattan,0.0367,0.974,1.08,14598
"PU=East Chelsea, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0065,0.955,1.08,2595
"DO=West Village, DO_bor=Manhattan",PU_bor=Manhattan,0.017,0.974,1.08,6767
"DO=Upper West Side North, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0057,0.97,1.08,2275
"DO=Central Park, DO_bor=Manhattan",PU_bor=Manhattan,0.0099,0.97,1.08,3926
"DO=East Village, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0103,0.97,1.08,4121
PU=LaGuardia Airport,rush=yes,0.0081,0.318,1.08,3207
"DO=Upper East Side South, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0076,0.977,1.08,3030
DO=Upper West Side North,PU_bor=Manhattan,0.0217,0.973,1.08,8648
"PU=Upper West Side North, PU_bor=Manhattan",DO_bor=Manhattan,0.0191,0.96,1.08,7600
DO=Central Park,PU_bor=Manhattan,0.0099,0.97,1.08,3926
"DO=Upper West Side North, rush=yes",PU_bor=Manhattan,0.007,0.975,1.08,2784
"DO=Lincoln Square East, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0093,0.977,1.08,3701
"PU=Lenox Hill East, rush=yes",DO_bor=Manhattan,0.0078,0.961,1.08,3094
"DO=Lincoln Square East, rush=yes",PU_bor=Manhattan,0.0093,0.977,1.08,3701
"PU=Lenox Hill East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0078,0.961,1.08,3094
"DO=Upper East Side North, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0145,0.976,1.08,5781
"PU=Sutton Place/Turtle Bay North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0058,0.961,1.08,2301
DO=Lincoln Square West,PU_bor=Manhattan,0.0145,0.971,1.08,5776
"DO=Lincoln Square West, DO_bor=Manhattan",PU_bor=Manhattan,0.0145,0.971,1.08,5776
"DO=Upper West Side South, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0074,0.977,1.08,2952
"PU=Lincoln Square East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0081,0.957,1.08,3217
DO=West Chelsea/Hudson Yards,PU_bor=Manhattan,0.0195,0.973,1.08,7752
"PU=Murray Hill, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0083,0.955,1.08,3306
"DO=Upper East Side North, rush=yes",PU_bor=Manhattan,0.0145,0.976,1.08,5781
"DO=Upper West Side South, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0082,0.978,1.08,3263
"DO=Lincoln Square East, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0077,0.969,1.08,3047
"DO=East Village, weekend=yes",PU_bor=Manhattan,0.0103,0.97,1.08,4121
"DO=Upper West Side South, weekend=yes",PU_bor=Manhattan,0.0074,0.977,1.08,2952
"DO=West Chelsea/Hudson Yards, DO_bor=Manhattan",PU_bor=Manhattan,0.0195,0.973,1.08,7752
DO=Upper East Side North,PU_bor=Manhattan,0.0398,0.972,1.08,15858
"PU=Midtown East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0118,0.954,1.08,4690
"PU=Murray Hill, rush=yes",DO_bor=Manhattan,0.0083,0.955,1.08,3306
"PU=Penn Station/Madison Sq West, rush=yes",DO_bor=Manhattan,0.0108,0.96,1.08,4295
"DO=Upper East Side South, rush=yes",PU_bor=Manhattan,0.0134,0.976,1.08,5340
"DO=Upper West Side South, DO_bor=Manhattan",PU_bor=Manhattan,0.0251,0.969,1.08,9977
"DO=Upper West Side North, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.007,0.975,1.08,2784
"DO=Upper East Side South, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0134,0.976,1.08,5340
"PU=Lincoln Square East, PU_bor=Manhattan",DO_bor=Manhattan,0.0294,0.955,1.08,11688
"DO=Upper East Side North, DO_bor=Manhattan",PU_bor=Manhattan,0.0398,0.972,1.08,15858
"PU=Clinton East, rush=yes",DO_bor=Manhattan,0.0066,0.955,1.08,2634
DO=Upper West Side South,PU_bor=Manhattan,0.0251,0.969,1.08,9977
PU=Lincoln Square East,DO_bor=Manhattan,0.0294,0.955,1.08,11688
"DO=Lincoln Square East, weekend=yes",PU_bor=Manhattan,0.0077,0.969,1.08,3047
"PU=East Chelsea, rush=yes",DO_bor=Manhattan,0.0065,0.955,1.08,2595
"DO=Union Sq, weekend=yes",PU_bor=Manhattan,0.0058,0.967,1.07,2300
DO=Greenwich Village South,PU_bor=Manhattan,0.0093,0.961,1.07,3693
"DO=Upper East Side North, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0086,0.966,1.07,3426
"PU=Midtown North, rush=yes",DO_bor=Manhattan,0.0077,0.945,1.07,3060
"DO=Lenox Hill West, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0073,0.965,1.07,2901
"DO=Lenox Hill West, weekend=yes",PU_bor=Manhattan,0.0073,0.965,1.07,2901
"PU=Upper East Side South, weekend=yes",DO_bor=Manhattan,0.0075,0.944,1.07,3003
"PU=Midtown Center, rush=yes",DO_bor=Manhattan,0.0134,0.946,1.07,5337
"DO=Union Sq, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0058,0.967,1.07,2300
"DO=Gramercy, weekend=yes",PU_bor=Manhattan,0.0072,0.962,1.07,2870
"PU=Yorkville West, weekend=yes",DO_bor=Manhattan,0.0056,0.948,1.07,2236
"PU=Upper East Side South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0075,0.944,1.07,3003
"DO=Penn Station/Madison Sq West, weekend=yes",PU_bor=Manhattan,0.006,0.965,1.07,2389
"DO=Flatiron, weekend=yes",PU_bor=Manhattan,0.0059,0.964,1.07,2353
"DO=Lenox Hill East, rush=yes",PU_bor=Manhattan,0.0074,0.966,1.07,2955
DO=Lincoln Square East,PU_bor=Manhattan,0.0263,0.964,1.07,10460
"DO=Lincoln Square East, DO_bor=Manhattan",PU_bor=Manhattan,0.0263,0.964,1.07,10460
"PU=Midtown North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0077,0.945,1.07,3060
"DO=Lenox Hill East, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0074,0.966,1.07,2955
"PU=West Chelsea/Hudson Yards, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0066,0.944,1.07,2619
"DO=Upper East Side North, weekend=yes",PU_bor=Manhattan,0.0086,0.966,1.07,3426
"PU=West Chelsea/Hudson Yards, weekend=yes",DO_bor=Manhattan,0.0066,0.944,1.07,2619
"DO=Yorkville West, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0065,0.96,1.07,2604
PU=West Chelsea/Hudson Yards,DO_bor=Manhattan,0.0171,0.945,1.07,6789
"PU=West Chelsea/Hudson Yards, PU_bor=Manhattan",DO_bor=Manhattan,0.0171,0.945,1.07,6789
"DO=Greenwich Village South, DO_bor=Manhattan",PU_bor=Manhattan,0.0093,0.961,1.07,3693
"PU=Yorkville West, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0056,0.948,1.07,2236
"DO=Lenox Hill West, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0078,0.96,1.07,3097
"DO=Flatiron, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0059,0.964,1.07,2353
"DO=Lenox Hill West, rush=yes",PU_bor=Manhattan,0.0078,0.96,1.07,3097
"DO=Gramercy, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0072,0.962,1.07,2870
"PU=Midtown Center, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0134,0.946,1.07,5337
"DO=Yorkville West, weekend=yes",PU_bor=Manhattan,0.0065,0.96,1.07,2604
"DO=Penn Station/Madison Sq West, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.006,0.965,1.07,2389
"PU_bor=Manhattan, rush=yes, weekend=yes",DO_bor=Manhattan,0.0492,0.95,1.07,19606
"DO=Union Sq, DO_bor=Manhattan",PU_bor=Manhattan,0.0212,0.954,1.06,8432
"PU=Yorkville East, PU_bor=Manhattan",DO_bor=Manhattan,0.014,0.937,1.06,5562
"DO=Clinton East, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0086,0.955,1.06,3428
"DO=East Chelsea, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0083,0.954,1.06,3291
"DO=Manhattan Valley, DO_bor=Manhattan",PU_bor=Manhattan,0.0081,0.957,1.06,3236
DO=Manhattan Valley,PU_bor=Manhattan,0.0081,0.957,1.06,3236
DO=Penn Station/Madison Sq West,PU_bor=Manhattan,0.0199,0.954,1.06,7919
PU=Lenox Hill West,DO_bor=Manhattan,0.0227,0.939,1.06,9029
"PU=Flatiron, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0052,0.936,1.06,2060
DO=Clinton West,PU_bor=Manhattan,0.0107,0.958,1.06,4259
"DO=Sutton Place/Turtle Bay North, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0056,0.959,1.06,2234
"PU=Lenox Hill West, PU_bor=Manhattan",DO_bor=Manhattan,0.0227,0.939,1.06,9029
PU=Lenox Hill East,DO_bor=Manhattan,0.0189,0.938,1.06,7543
"DO=Lenox Hill East, DO_bor=Manhattan",PU_bor=Manhattan,0.0219,0.959,1.06,8734
"DO=Murray Hill, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.008,0.952,1.06,3198
"PU=Union Sq, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0064,0.943,1.06,2547
PU=Yorkville East,DO_bor=Manhattan,0.014,0.937,1.06,5562
"PU=Midtown South, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0055,0.942,1.06,2174
DO=TriBeCa/Civic Center,PU_bor=Manhattan,0.0145,0.952,1.06,5778
DO=Lenox Hill East,PU_bor=Manhattan,0.0219,0.959,1.06,8734
PU=Meatpacking/West Village West,DO_bor=Manhattan,0.0091,0.943,1.06,3613
PU=Penn Station/Madison Sq West,DO_bor=Manhattan,0.0357,0.94,1.06,14230
DO=Union Sq,PU_bor=Manhattan,0.0212,0.954,1.06,8432
"PU=Penn Station/Madison Sq West, PU_bor=Manhattan",DO_bor=Manhattan,0.0357,0.94,1.06,14230
"DO=East Chelsea, weekend=yes",PU_bor=Manhattan,0.0083,0.954,1.06,3291
"DO=Midtown South, DO_bor=Manhattan",rush=yes,0.0062,0.31,1.06,2461
"DO=Lenox Hill West, DO_bor=Manhattan",PU_bor=Manhattan,0.0257,0.957,1.06,10227
"DO=Penn Station/Madison Sq West, rush=yes",PU_bor=Manhattan,0.006,0.954,1.06,2389
"PU=Union Sq, weekend=yes",DO_bor=Manhattan,0.0064,0.943,1.06,2547
"DO=Yorkville West, rush=yes",PU_bor=Manhattan,0.006,0.952,1.06,2408
"PU=Union Sq, PU_bor=Manhattan",DO_bor=Manhattan,0.0218,0.942,1.06,8675
"DO=Union Sq, rush=yes",PU_bor=Manhattan,0.0074,0.957,1.06,2930
PU=Yorkville West,DO_bor=Manhattan,0.0198,0.941,1.06,7895
"DO=Yorkville West, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.006,0.952,1.06,2408
"DO=Clinton East, weekend=yes",PU_bor=Manhattan,0.0086,0.955,1.06,3428
"DO=Midtown Center, rush=yes",PU_bor=Manhattan,0.0142,0.953,1.06,5665
DO=Lenox Hill West,PU_bor=Manhattan,0.0257,0.957,1.06,10227
PU=Greenwich Village North,DO_bor=Manhattan,0.013,0.937,1.06,5195
"DO=Midtown Center, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0142,0.953,1.06,5665
"PU=Flatiron, weekend=yes",DO_bor=Manhattan,0.0052,0.936,1.06,2060
PU=Union Sq,DO_bor=Manhattan,0.0218,0.942,1.06,8675
"PU=Yorkville West, PU_bor=Manhattan",DO_bor=Manhattan,0.0198,0.941,1.06,7895
"DO=Midtown North, rush=yes",PU_bor=Manhattan,0.0078,0.954,1.06,3115
"DO=Sutton Place/Turtle Bay North, weekend=yes",PU_bor=Manhattan,0.0056,0.959,1.06,2234
"DO=Penn Station/Madison Sq West, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.006,0.954,1.06,2389
"DO=Union Sq, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0074,0.957,1.06,2930
"PU=Greenwich Village North, PU_bor=Manhattan",DO_bor=Manhattan,0.013,0.937,1.06,5195
"DO=Midtown North, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0078,0.954,1.06,3115
"DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.2464,0.959,1.06,98093
DO=Midtown South,rush=yes,0.0062,0.31,1.06,2461
"DO=Clinton West, DO_bor=Manhattan",PU_bor=Manhattan,0.0107,0.958,1.06,4259
"DO=Penn Station/Madison Sq West, DO_bor=Manhattan",PU_bor=Manhattan,0.0199,0.954,1.06,7919
"DO=Murray Hill, weekend=yes",PU_bor=Manhattan,0.008,0.952,1.06,3198
"PU=Lenox Hill East, PU_bor=Manhattan",DO_bor=Manhattan,0.0189,0.938,1.06,7543
"DO=TriBeCa/Civic Center, DO_bor=Manhattan",PU_bor=Manhattan,0.0145,0.952,1.06,5778
"PU=Meatpacking/West Village West, PU_bor=Manhattan",DO_bor=Manhattan,0.0091,0.943,1.06,3613
"PU=Midtown South, rush=yes",DO_bor=Manhattan,0.0055,0.942,1.06,2174
"DO=Sutton Place/Turtle Bay North, DO_bor=Manhattan",PU_bor=Manhattan,0.0193,0.947,1.05,7690
PU=Garment District,DO_bor=Manhattan,0.0177,0.93,1.05,7067
"DO_bor=Manhattan, PU_bor=Queens",rush=yes,0.0126,0.306,1.05,5001
"DO=East Village, DO_bor=Manhattan",PU_bor=Manhattan,0.0216,0.943,1.05,8584
DO=East Harlem South,PU_bor=Manhattan,0.0129,0.943,1.05,5155
"PU=Penn Station/Madison Sq West, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0077,0.929,1.05,3053
"PU=East Chelsea, PU_bor=Manhattan",weekend=yes,0.0079,0.303,1.05,3152
"PU=Lenox Hill West, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0059,0.927,1.05,2367
"PU=East Chelsea, PU_bor=Manhattan",DO_bor=Manhattan,0.0243,0.931,1.05,9694
"PU=Lenox Hill West, weekend=yes",DO_bor=Manhattan,0.0059,0.927,1.05,2367
"DO=Yorkville West, DO_bor=Manhattan",PU_bor=Manhattan,0.0206,0.951,1.05,8196
"DO=Midtown East, rush=yes",PU_bor=Manhattan,0.0102,0.944,1.05,4068
"DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.2556,0.947,1.05,101764
"DO=Yorkville East, DO_bor=Manhattan",PU_bor=Manhattan,0.0142,0.948,1.05,5666
"PU=Flatiron, PU_bor=Manhattan",DO_bor=Manhattan,0.0155,0.932,1.05,6153
"DO=Little Italy/NoLiTa, DO_bor=Manhattan",PU_bor=Manhattan,0.0084,0.944,1.05,3363
DO=Sutton Place/Turtle Bay North,PU_bor=Manhattan,0.0193,0.947,1.05,7690
"PU=Gramercy, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0066,0.931,1.05,2628
DO=Midtown Center,PU_bor=Manhattan,0.0356,0.943,1.05,14178
"PU=East Chelsea, weekend=yes",DO_bor=Manhattan,0.0073,0.928,1.05,2925
"DO=Sutton Place/Turtle Bay North, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0057,0.95,1.05,2273
"PU=West Village, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.013,0.931,1.05,5179
"DO=Kips Bay, DO_bor=Manhattan",weekend=yes,0.0051,0.305,1.05,2020
"PU=Gramercy, PU_bor=Manhattan",DO_bor=Manhattan,0.0203,0.93,1.05,8087
PU=Gramercy,DO_bor=Manhattan,0.0203,0.93,1.05,8087
"DO=East Harlem South, DO_bor=Manhattan",PU_bor=Manhattan,0.0129,0.943,1.05,5155
"PU=West Village, PU_bor=Manhattan",DO_bor=Manhattan,0.0269,0.928,1.05,10716
"PU=Penn Station/Madison Sq West, weekend=yes",DO_bor=Manhattan,0.0077,0.929,1.05,3053
"PU=East Chelsea, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0073,0.928,1.05,2925
PU=West Village,DO_bor=Manhattan,0.0269,0.928,1.05,10716
"PU=Gramercy, weekend=yes",DO_bor=Manhattan,0.0066,0.931,1.05,2628
PU=East Chelsea,weekend=yes,0.0079,0.303,1.05,3152
"PU=Sutton Place/Turtle Bay North, PU_bor=Manhattan",DO_bor=Manhattan,0.0169,0.928,1.05,6742
DO=Little Italy/NoLiTa,PU_bor=Manhattan,0.0084,0.944,1.05,3363
DO=Yorkville West,PU_bor=Manhattan,0.0206,0.951,1.05,8196
"DO=Sutton Place/Turtle Bay North, rush=yes",PU_bor=Manhattan,0.0057,0.95,1.05,2273
"PU=Greenwich Village South, weekend=yes",DO_bor=Manhattan,0.0103,0.934,1.05,4087
"PU=Greenwich Village South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0103,0.934,1.05,4087
PU_bor=Manhattan,DO_bor=Manhattan,0.8373,0.929,1.05,333381
"DO=Midtown Center, DO_bor=Manhattan",PU_bor=Manhattan,0.0356,0.943,1.05,14178
"DO=Midtown South, PU_bor=Manhattan",rush=yes,0.0056,0.309,1.05,2210
DO_bor=Manhattan,PU_bor=Manhattan,0.8373,0.945,1.05,333381
DO=Kips Bay,weekend=yes,0.0051,0.305,1.05,2020
PU=Flatiron,DO_bor=Manhattan,0.0155,0.932,1.05,6153
"PU=Garment District, PU_bor=Manhattan",DO_bor=Manhattan,0.0177,0.93,1.05,7067
DO=Yorkville East,PU_bor=Manhattan,0.0142,0.948,1.05,5666
DO=East Village,PU_bor=Manhattan,0.0216,0.943,1.05,8584
"DO=Midtown East, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0102,0.944,1.05,4068
"DO_bor=Manhattan, rush=yes, weekend=yes",PU_bor=Manhattan,0.0492,0.944,1.05,19606
PU=Sutton Place/Turtle Bay North,DO_bor=Manhattan,0.0169,0.928,1.05,6742
"DO=Midtown South, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0056,0.309,1.05,2210
"PU=West Village, weekend=yes",DO_bor=Manhattan,0.013,0.931,1.05,5179
PU=East Chelsea,DO_bor=Manhattan,0.0243,0.931,1.05,9694
PU=Midtown East,DO_bor=Manhattan,0.0308,0.924,1.04,12275
DO=Murray Hill,PU_bor=Manhattan,0.0278,0.936,1.04,11081
DO=Greenwich Village North,PU_bor=Manhattan,0.0115,0.94,1.04,4563
DO=East Chelsea,PU_bor=Manhattan,0.0249,0.939,1.04,9897
DO=Midtown East,PU_bor=Manhattan,0.027,0.937,1.04,10739
PU=SoHo,DO_bor=Manhattan,0.007,0.921,1.04,2802
"DO=East Chelsea, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.007,0.938,1.04,2796
PU=Clinton East,DO_bor=Manhattan,0.0302,0.919,1.04,12008
DO=Gramercy,PU_bor=Manhattan,0.0198,0.937,1.04,7881
"DO=Flatiron, DO_bor=Manhattan",PU_bor=Manhattan,0.0147,0.939,1.04,5865
"DO=East Chelsea, DO_bor=Manhattan",PU_bor=Manhattan,0.0249,0.939,1.04,9897
rush=yes,DO_bor=Manhattan,0.2698,0.921,1.04,107439
"PU=East Village, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0169,0.924,1.04,6728
"DO=Midtown East, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.005,0.941,1.04,1992
"PU=Greenwich Village South, PU_bor=Manhattan",DO_bor=Manhattan,0.0176,0.922,1.04,7019
"PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.2464,0.925,1.04,98093
"DO=Midtown East, weekend=yes",PU_bor=Manhattan,0.005,0.941,1.04,1992
"DO=Midtown East, DO_bor=Manhattan",PU_bor=Manhattan,0.027,0.937,1.04,10739
"DO=Greenwich Village North, DO_bor=Manhattan",PU_bor=Manhattan,0.0115,0.94,1.04,4563
"PU=East Village, weekend=yes",DO_bor=Manhattan,0.0169,0.924,1.04,6728
"DO=East Chelsea, rush=yes",PU_bor=Manhattan,0.007,0.938,1.04,2796
"PU=Midtown East, PU_bor=Manhattan",DO_bor=Manhattan,0.0308,0.924,1.04,12275
"PU=SoHo, PU_bor=Manhattan",DO_bor=Manhattan,0.007,0.921,1.04,2802
"DO_bor=Manhattan, PU=East Chelsea",weekend=yes,0.0073,0.302,1.04,2925
"PU=Clinton East, PU_bor=Manhattan",DO_bor=Manhattan,0.0302,0.919,1.04,12008
"DO=Murray Hill, DO_bor=Manhattan",PU_bor=Manhattan,0.0278,0.936,1.04,11081
"DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.2556,0.305,1.04,101764
"DO=Gramercy, DO_bor=Manhattan",PU_bor=Manhattan,0.0198,0.937,1.04,7881
"DO=Midtown Center, weekend=yes",PU_bor=Manhattan,0.0055,0.939,1.04,2203
"DO=Penn Station/Madison Sq West, PU_bor=Manhattan",weekend=yes,0.006,0.302,1.04,2389
"DO=Midtown North, DO_bor=Manhattan",PU_bor=Manhattan,0.022,0.935,1.04,8773
"DO=Kips Bay, DO_bor=Manhattan",PU_bor=Manhattan,0.0156,0.94,1.04,6229
"PU=Little Italy/NoLiTa, weekend=yes",DO_bor=Manhattan,0.0061,0.92,1.04,2445
"PU=Murray Hill, weekend=yes",DO_bor=Manhattan,0.0051,0.919,1.04,2046
"PU=Murray Hill, PU_bor=Manhattan",DO_bor=Manhattan,0.0242,0.925,1.04,9633
DO_bor=Manhattan,rush=yes,0.2698,0.305,1.04,107439
PU=Greenwich Village South,DO_bor=Manhattan,0.0176,0.922,1.04,7019
DO=Kips Bay,PU_bor=Manhattan,0.0156,0.94,1.04,6229
"DO=Midtown Center, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0055,0.939,1.04,2203
"DO_bor=Manhattan, PU=East Chelsea, PU_bor=Manhattan",weekend=yes,0.0073,0.302,1.04,2925
"PU=Little Italy/NoLiTa, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0061,0.92,1.04,2445
DO=Flatiron,PU_bor=Manhattan,0.0147,0.939,1.04,5865
"PU=Murray Hill, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0051,0.919,1.04,2046
PU=Murray Hill,DO_bor=Manhattan,0.0242,0.925,1.04,9633
"DO=Penn Station/Madison Sq West, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.006,0.302,1.04,2389
DO=Midtown North,PU_bor=Manhattan,0.022,0.935,1.04,8773
"PU=Midtown East, weekend=yes",DO_bor=Manhattan,0.0056,0.909,1.03,2236
DO=Clinton East,PU_bor=Manhattan,0.024,0.931,1.03,9547
"DO_bor=Manhattan, PU=Penn Station/Madison Sq West",rush=yes,0.0108,0.302,1.03,4295
"DO=Lenox Hill West, PU_bor=Manhattan",rush=yes,0.0078,0.303,1.03,3097
"rush=yes, weekend=yes",DO_bor=Manhattan,0.0522,0.908,1.03,20773
"DO=Lenox Hill West, DO_bor=Manhattan",rush=yes,0.0081,0.302,1.03,3226
"PU=Little Italy/NoLiTa, PU_bor=Manhattan",DO_bor=Manhattan,0.0108,0.915,1.03,4315
PU=Little Italy/NoLiTa,DO_bor=Manhattan,0.0108,0.915,1.03,4315
"PU=Midtown Center, PU_bor=Manhattan",DO_bor=Manhattan,0.0369,0.917,1.03,14689
"PU=TriBeCa/Civic Center, PU_bor=Manhattan",DO_bor=Manhattan,0.0115,0.914,1.03,4578
